subject,description,status,priority,story_points,generated_from_id,us_order
"RF01.1 - Registro de clientes","Como cliente, quiero registrarme mediante un formulario básico para acceder a la plataforma. Criterios: Formulario con nombre, correo, teléfono, contraseña. Validación de datos. Almacenamiento en BD.",New,Normal,3,RF01.1,1
"RF01.2,RF05,RF05.1 - Solicitud de registro de carpintero","Como carpintero, quiero enviar una solicitud de registro con mis datos profesionales. Criterios: Formulario con nombre, oficio, experiencia, teléfono, especialidad. Adjuntar CV. Envío de solicitud al admin.",New,Normal,5,RF01.2,2
"RF02,RF02.1 - Inicio de sesión multi-rol","Como usuario, quiero iniciar sesión para acceder a mi panel correspondiente. Criterios: Login con email y contraseña. Redirección según rol (cliente/carpintero/admin). Sesión segura.",New,Normal,3,RF02,3
"RF03 - Recuperación de contraseña","Como usuario, quiero recuperar mi contraseña por correo electrónico. Criterios: Formulario de recuperación. Envío de enlace por correo. Cambio de contraseña seguro.",New,Normal,2,RF03,4
"RF09,RF09.1 - Edición de perfil de carpintero","Como carpintero, quiero editar mi perfil con ubicación, servicios y experiencia. Criterios: Edición de datos. Galería de trabajos.",New,Normal,5,RF09,5
"RF11,RF11.1 - Gestión de portafolio","Como carpintero, quiero mostrar mi galería de trabajos anteriores. Criterios: Subir imágenes con título, descripción, fecha. Editar y eliminar proyectos.",New,Normal,5,RF11,6
"RF21,RF22 - Editar perfil de cliente","Como cliente, quiero actualizar mi información personal. Criterios: Editar nombre, teléfono, ciudad. Cambiar contraseña.",New,Normal,2,RF21,7
"RF10 - Directorio de carpinteros","Como cliente, quiero ver los perfiles de carpinteros aprobados. Criterios: Listado de carpinteros verificados. Información de contacto y especialización.",New,Normal,3,RF10,8
"RF13,RF14,RF15 - Solicitar servicio a carpintero","Como cliente, quiero enviar una solicitud de servicio a un carpintero. Criterios: Formulario con descripción del proyecto. Registro de visualización/contacto. Notificación al carpintero.",New,Normal,5,RF13,9
"RF25 - Responder solicitudes","Como carpintero, quiero aceptar, rechazar o completar solicitudes. Criterios: Ver solicitudes recibidas. Cambiar estado (pendiente/aceptada/rechazada/completada).",New,Normal,3,RF25,10
"RF12,RF12.1 - Calificar servicios","Como cliente, quiero calificar y comentar el trabajo del carpintero. Criterios: Calificación de 1 a 5 estrellas. Comentario opcional. Mostrar promedio en perfil.",New,Normal,3,RF12,11
"RF15,RF26,RF27 - Sistema de notificaciones","Como usuario, quiero recibir notificaciones sobre el estado de mis solicitudes. Criterios: Notificaciones por nuevas solicitudes. Notificaciones por cambio de estado. Marcar como leídas.",New,Normal,5,RF15,12
"RF16,RF28 - Historial de solicitudes","Como usuario, quiero consultar el estado de mis solicitudes y actividades. Criterios: Ver estado en tiempo real. Historial de actividades.",New,Normal,3,RF16,13
"RF07,RF08.2 - Revisar solicitudes de carpinteros","Como admin, quiero aprobar o rechazar solicitudes de carpinteros. Criterios: Ver listado de solicitudes pendientes. Aprobar o rechazar. Notificar al carpintero.",New,Normal,5,RF07,14
"RF08,RF08.1,RF08.3,RF08.4,RF08.5 - Administración de carpinteros","Como admin, quiero gestionar la información de los carpinteros. Criterios: Consultar listado. Ver perfil individual. Modificar información. Bloquear/desbloquear. Ver historial y calificaciones.",New,Normal,5,RF08,15
"RF17 - Landing page","Como visitante, quiero ver información general del proyecto. Criterios: Información del servicio. Llamados a acción (registro).",New,Normal,2,RF17,16
"RF18 - Página Sobre Nosotros","Como visitante, quiero conocer el propósito del proyecto y el equipo. Criterios: Historia de la empresa. Misión y visión. Equipo de trabajo.",New,Normal,2,RF18,17
"RF19 - Sección FAQ","Como visitante, quiero encontrar respuestas a preguntas comunes. Criterios: Preguntas organizadas por categoría. Accordion o lista desplegable.",New,Normal,2,RF19,18
"RF20 - Página de contacto","Como visitante, quiero encontrar información de contacto. Criterios: Formulario de contacto. Datos de contacto (email, teléfono, dirección).",New,Normal,2,RF20,19
"RNF1 - Compatibilidad multi-dispositivo","La plataforma debe funcionar en cualquier navegador y dispositivo móvil. Criterios: Prueba en Chrome, Firefox, Safari, Edge. Prueba en móvil y tablet.",New,Normal,3,RNF1,20
"RNF3,RNF4 - Seguridad de datos","La información debe almacenarse de forma segura. Criterios: Contraseñas hasheadas. Sesiones seguras. Restricción de acceso admin.",New,Normal,5,RNF3,21
"RNF6 - Interfaz intuitiva","La interfaz debe ser fácil de usar. Criterios: Navegación clara. Para usuarios con conocimientos básicos.",New,Normal,2,RNF6,22
"RNF7 - Optimización SEO","Los contenidos públicos deben estar optimizados para SEO. Criterios: Meta tags. Títulos y descripciones. Estructura semántica.",New,Normal,2,RNF7,23
"RNF2,RNF5 - Disponibilidad y Mantenibilidad","El sistema debe estar disponible el 99% del tiempo y permitir actualizaciones futuras. Criterios: Mantenimiento programado. Arquitectura modular.",New,Normal,3,RNF2,24
